iso3,country_name,year,pathogen,antibiotic,resistance_rate
BEL,Belgium,2011,Pseudomonas aeruginosa,Carbapenems,10.67538126
BEL,Belgium,2011,Staphylococcus aureus,Meticillin (MRSA),17.43119266
BEL,Belgium,2012,Enterococcus faecium,Aminopenicillins,78.06122448
BEL,Belgium,2012,Escherichia coli,Carbapenems,0.02427773
BEL,Belgium,2012,Escherichia coli,Fluoroquinolones,22.16216216
BEL,Belgium,2012,Escherichia coli,Third-generation cephalosporins,6.88308518
BEL,Belgium,2012,Klebsiella pneumoniae,Carbapenems,0.73394495
BEL,Belgium,2012,Klebsiella pneumoniae,Fluoroquinolones,17.29323308
BEL,Belgium,2012,Klebsiella pneumoniae,Third-generation cephalosporins,16.48148148
BEL,Belgium,2012,Pseudomonas aeruginosa,Carbapenems,9.71867007
BEL,Belgium,2012,Staphylococcus aureus,Meticillin (MRSA),16.58163265
BEL,Belgium,2013,Acinetobacter spp.,Carbapenems,
BEL,Belgium,2013,Enterococcus faecium,Aminopenicillins,73.8372093
BEL,Belgium,2013,Escherichia coli,Carbapenems,0.04710315
BEL,Belgium,2013,Escherichia coli,Fluoroquinolones,22.95161682
BEL,Belgium,2013,Escherichia coli,Third-generation cephalosporins,7.99802517
BEL,Belgium,2013,Klebsiella pneumoniae,Carbapenems,0.32362459
BEL,Belgium,2013,Klebsiella pneumoniae,Fluoroquinolones,22.22222222
BEL,Belgium,2013,Klebsiella pneumoniae,Third-generation cephalosporins,15.31986531
BEL,Belgium,2013,Pseudomonas aeruginosa,Carbapenems,11.003861
BEL,Belgium,2013,Staphylococcus aureus,Meticillin (MRSA),16.87344913
BEL,Belgium,2014,Acinetobacter spp.,Carbapenems,
BEL,Belgium,2014,Enterococcus faecium,Aminopenicillins,84.81675392
BEL,Belgium,2014,Escherichia coli,Carbapenems,0.03825554
BEL,Belgium,2014,Escherichia coli,Fluoroquinolones,26.70257791
BEL,Belgium,2014,Escherichia coli,Third-generation cephalosporins,9.74304068
BEL,Belgium,2014,Klebsiella pneumoniae,Carbapenems,0.46620046
BEL,Belgium,2014,Klebsiella pneumoniae,Fluoroquinolones,18.18181818
BEL,Belgium,2014,Klebsiella pneumoniae,Third-generation cephalosporins,16.28865979
BEL,Belgium,2014,Pseudomonas aeruginosa,Carbapenems,10.1744186
BEL,Belgium,2014,Staphylococcus aureus,Meticillin (MRSA),13.46153846
BEL,Belgium,2015,Acinetobacter spp.,Carbapenems,0.0
BEL,Belgium,2015,Enterococcus faecium,Aminopenicillins,80.625
BEL,Belgium,2015,Escherichia coli,Carbapenems,0.0
BEL,Belgium,2015,Escherichia coli,Fluoroquinolones,26.58869395
BEL,Belgium,2015,Escherichia coli,Third-generation cephalosporins,9.67990744
BEL,Belgium,2015,Klebsiella pneumoniae,Carbapenems,0.51413881
BEL,Belgium,2015,Klebsiella pneumoniae,Fluoroquinolones,22.69129287
BEL,Belgium,2015,Klebsiella pneumoniae,Third-generation cephalosporins,19.70443349
BEL,Belgium,2015,Pseudomonas aeruginosa,Carbapenems,3.90625
BEL,Belgium,2015,Staphylococcus aureus,Meticillin (MRSA),12.26725082
BEL,Belgium,2016,Acinetobacter spp.,Carbapenems,2.56410256
BEL,Belgium,2016,Enterococcus faecium,Aminopenicillins,85.71428571
BEL,Belgium,2016,Escherichia coli,Carbapenems,0.0520156
BEL,Belgium,2016,Escherichia coli,Fluoroquinolones,24.54592631
BEL,Belgium,2016,Escherichia coli,Third-generation cephalosporins,10.48969761
BEL,Belgium,2016,Klebsiella pneumoniae,Carbapenems,2.39162929
BEL,Belgium,2016,Klebsiella pneumoniae,Fluoroquinolones,23.61733931
BEL,Belgium,2016,Klebsiella pneumoniae,Third-generation cephalosporins,22.86995515
BEL,Belgium,2016,Pseudomonas aeruginosa,Carbapenems,9.58904109
BEL,Belgium,2016,Staphylococcus aureus,Meticillin (MRSA),12.17008797
BEL,Belgium,2017,Acinetobacter spp.,Carbapenems,6.870229
BEL,Belgium,2017,Enterococcus faecium,Aminopenicillins,88.53658536
BEL,Belgium,2017,Escherichia coli,Carbapenems,0.0214041
BEL,Belgium,2017,Escherichia coli,Fluoroquinolones,23.80191693
BEL,Belgium,2017,Escherichia coli,Third-generation cephalosporins,9.73886986
BEL,Belgium,2017,Klebsiella pneumoniae,Carbapenems,1.13780025
BEL,Belgium,2017,Klebsiella pneumoniae,Fluoroquinolones,23.66127023
BEL,Belgium,2017,Klebsiella pneumoniae,Third-generation cephalosporins,19.30261519
BEL,Belgium,2017,Pseudomonas aeruginosa,Carbapenems,8.2278481
BEL,Belgium,2017,Staphylococcus aureus,Meticillin (MRSA),8.53739245
BEL,Belgium,2018,Acinetobacter spp.,Carbapenems,3.78787878
BEL,Belgium,2018,Enterococcus faecium,Aminopenicillins,84.66819221
BEL,Belgium,2018,Escherichia coli,Carbapenems,0.06464124
BEL,Belgium,2018,Escherichia coli,Fluoroquinolones,21.80004749
BEL,Belgium,2018,Escherichia coli,Third-generation cephalosporins,9.02239448
BEL,Belgium,2018,Klebsiella pneumoniae,Carbapenems,1.39037433
BEL,Belgium,2018,Klebsiella pneumoniae,Fluoroquinolones,22.63948497
BEL,Belgium,2018,Klebsiella pneumoniae,Third-generation cephalosporins,21.39037433
BEL,Belgium,2018,Pseudomonas aeruginosa,Carbapenems,7.39219712
BEL,Belgium,2018,Staphylococcus aureus,Meticillin (MRSA),9.04899135
BGR,Bulgaria,2000,Staphylococcus aureus,Meticillin (MRSA),40.19607843
BGR,Bulgaria,2001,Enterococcus faecium,Aminopenicillins,
BGR,Bulgaria,2001,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2001,Escherichia coli,Fluoroquinolones,7.86516853
BGR,Bulgaria,2001,Escherichia coli,Third-generation cephalosporins,6.66666666
