iso3,year,TXx,TNx,SU,TR,WSDI,TN90p
DNK,2009,30.717998045176994,17.444582547832237,19.972734567906528,0.048687957706316336,14.136894771558906,15.179159530040238
DNK,2010,31.211926446960003,19.03019327690057,18.653264910971764,0.6388623783740041,4.880602325995673,11.801258822402625
DNK,2011,28.457172363883217,17.804060218339387,17.126277455794625,0.03848760340121108,15.956815520826403,17.568397525568727
DNK,2012,30.201274449397918,17.753331361505623,15.719426046139095,0.09440100121514512,10.715954081027933,15.135213680564233
DNK,2013,30.66928016277482,18.123093846731678,18.582963981853872,0.1947540155454987,7.241052596980421,15.220806684852507
DNK,2014,30.967620227103442,18.913769847588068,24.112563415970456,0.5397962329611065,25.357526765804483,24.344608220567988
DNK,2015,30.873224323871845,17.978165838244326,17.81670948865195,0.3207400625959494,28.23534032193396,18.795815714849667
DNK,2016,30.068427628355437,17.908108561301386,22.300631772344346,0.08359270803529731,18.357076282747457,18.365358301094954
DNK,2017,27.999141856995095,16.644344164135877,14.417311944682611,0.02538864632361222,5.874451292536961,15.90350813867639
DNK,2018,33.34758530920266,20.280070692000137,48.542920297670506,1.627213831778668,34.75621862296399,22.600832172083965
DOM,2000,,25.60620880126953,365.6030578613281,197.1343994140625,,7.399817943572998
DOM,2001,,25.978227615356445,363.8890075683594,222.44734191894528,,11.869827270507812
DOM,2002,,26.286483764648438,364.5092468261719,228.27676391601562,,15.135416030883789
DOM,2003,,25.920034408569332,364.0476989746094,227.536376953125,,13.446421623229982
DOM,2004,,25.7056884765625,364.72637939453125,204.1116943359375,,8.151434898376465
DOM,2005,,26.516998291015625,,187.9862060546875,,18.217029571533203
DOM,2006,,26.259206771850586,364.24493408203125,211.51449584960938,,18.830629348754883
DOM,2007,,26.88067626953125,364.0228576660156,223.50729370117185,,15.562155723571777
DOM,2008,,25.919998168945312,365.7322998046875,187.5962371826172,,7.019620418548584
DOM,2009,,25.730859756469727,364.821533203125,186.4103240966797,,6.904284477233887
DOM,2010,,27.028715133666992,364.5926818847657,180.69190979003906,,11.185823440551758
DOM,2011,,24.866878509521484,,122.70050048828125,,5.934390068054199
DOM,2012,,25.432714462280273,,116.41895294189453,,7.137324333190918
DOM,2013,,25.36855697631836,,130.0308837890625,,15.363801002502441
DOM,2014,,25.058563232421875,,132.68006896972656,,12.466351509094238
DOM,2015,,25.402231216430664,,138.3667449951172,,24.84819221496582
DOM,2016,,25.45347023010254,,134.01315307617188,,18.63327407836914
DOM,2017,,25.26846694946289,,129.14993286132812,,18.31946563720703
DOM,2018,,25.872722625732422,,132.3344268798828,,20.60945701599121
DZA,2000,41.20871620313572,26.033494760348656,210.77263818754363,89.67033872230739,10.00410268903132,14.51954297454569
DZA,2001,41.864701982413244,26.54756764883063,219.77076772054764,92.42505126486375,18.500784147563074,18.65034459016984
DZA,2002,42.17151144728369,26.34853396781604,215.2241637024019,94.62132892571006,19.998141901243446,16.33821455778863
DZA,2003,42.486412354820835,27.49196724486699,215.31153493064824,107.59740820949277,22.52088836873821,21.915819010846352
DZA,2004,41.29193404411065,26.9567878994275,209.81004625570637,96.65006685083695,12.37021612733278,17.247099591287885
DZA,2005,41.461586501437864,26.63534374021192,211.7165118260986,99.76104173590595,27.856561586274697,18.580423753207718
DZA,2006,41.98508348453174,26.79878136750804,216.04334746910266,98.2238854193775,34.193799787522984,21.548075753931634
DZA,2007,42.37631690625679,26.658237491361636,210.07584537829595,91.24889879698421,25.66170688736671,15.505421090438288
DZA,2008,41.8832842093018,26.73486481461169,206.39575088622792,96.21656333408863,21.50733470212526,16.705689822100425
DZA,2009,42.73070672127584,27.429556695941777,225.87071611226395,105.5953188361032,22.556646877937435,20.42385066721561
DZA,2010,43.66459878675507,27.656342879027566,233.5008841119175,108.21584586799915,46.952745729763286,21.419595699631962
DZA,2011,42.0553306801595,26.146790659566776,203.25599969669707,58.196660247737896,23.324855746925802,20.441286994783372
