"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","SK","Slovakia",9.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","UK","United Kingdom",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","AT","Austria",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","BG","Bulgaria",4.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","CZ","Czechia",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","DE","Germany",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","EL","Greece",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","ES","Spain",4.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","FR","France",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","HR","Croatia",4.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","HU","Hungary",14.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","IT","Italy",8.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","LT","Lithuania",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","LV","Latvia",7.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","NL","Netherlands",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","PL","Poland",11.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","PT","Portugal",6.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","RO","Romania",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","SK","Slovakia",15.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2015","UK","United Kingdom",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","AT","Austria",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","BG","Bulgaria",5.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","CZ","Czechia",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","DE","Germany",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","EL","Greece",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","ES","Spain",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","FR","France",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","HR","Croatia",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","HU","Hungary",9.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","IT","Italy",5.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","LT","Lithuania",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","LV","Latvia",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","NL","Netherlands",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","PL","Poland",16.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","RO","Romania",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","SE","Sweden",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","SI","Slovenia",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","SK","Slovakia",4.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2016","UK","United Kingdom",6.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2017","AT","Austria",1.000000000,""
