"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","FI","Finland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","FR","France",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","IT","Italy",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","LV","Latvia",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","MT","Malta",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","NO","Norway",2.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","PL","Poland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","PT","Portugal",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","RO","Romania",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","SE","Sweden",2.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","AT","Austria",0.000000000,""
